ABCD Element Group,ABCD 2.06 Element,Bioschemas/schema.org Property,Bioschemas/schema.org (Data)Types,Description,Mapping Notes
Dataset GUID,/DataSets/DataSet/DatasetGUID,@id; identifier,IRI; URL,The dataset's globally unique identifier.,
Technical Contact,/DataSets/DataSet/TechnicalContacts/TechnicalContact,publisher,Organization,The publishing organization of the dataset.,
Technical Contact,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name,publisher:name,Text,,
Technical Contact,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Email,publisher:email,Text,,
Technical Contact,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Address,publisher:address,Text,,
Technical Contact,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Phone,publisher:telephone,Text,,
Content Contact,/DataSets/DataSet/ContentContacts/ContentContact,maintainer,Organization,The organization responsible for the dataset content and its maintenance.,
Content Contact,/DataSets/DataSet/ContentContacts/ContentContact/Name,maintainer:name,Text,,
Content Contact,/DataSets/DataSet/ContentContacts/ContentContact/Email,maintainer:email,Text,,
Content Contact,/DataSets/DataSet/ContentContacts/ContentContact/Address,maintainer:address,Text,,
Content Contact,/DataSets/DataSet/ContentContacts/ContentContact/Phone,maintainer:telephone,Text,,
Description,/DataSets/DataSet/Metadata/Description/Representation/Title,name,Text,The title of the dataset.,
Description,/DataSets/DataSet/Metadata/Description/Representation/Details,description,Text,A longer description of the dataset project.,
Description,/DataSets/DataSet/Metadata/Description/Representation/Coverage,keywords,Text,"Conceptualized aspects (e.g., geography, taxonomy) of the dataset project.",
Description,/DataSets/DataSet/Metadata/Description/Representation/URI,url,URL,Link to the dataset meta information.,
RevisionData,/DataSets/DataSet/Metadata/RevisionData/DateCreated,dateCreated,Date,Date of dataset creation.,Only date before 'T' in ISO Datetime
RevisionData,/DataSets/DataSet/Metadata/RevisionData/DateModified,dateModified or datePublished,Date,Date of last dataset update.,Only date before 'T' in ISO Datetime
RevisionData,/DataSets/DataSet/Metadata/RevisionData/Contributors,contributor,Person,"Persons that contributed to the dataset, e.g. as translators.",Usually comma-separated strings.
RevisionData,/DataSets/DataSet/Metadata/RevisionData/Contributors,contributor:name,Text,,
RevisionData,/DataSets/DataSet/Metadata/RevisionData/Creators,creator,Person,Authors or editors of dataset.,Usually comma-separated strings.
RevisionData,/DataSets/DataSet/Metadata/RevisionData/Creators,creator:name,Text,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License,license,CreativeWork,The public license used for the dataset publication.,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text,license:name,Text,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Details,license:description,Text,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI,license:url,URL,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse,usageInfo,CreativeWork,Specified conditions and restrictions for subsequent data usage.,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse,usageInfo:additionalType,Text,,Value: TermsOfUseStatement
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse/Text,usageInfo:name,Text,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse/Details,usageInfo:description,Text,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse/URI,usageInfo:url,URL,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Citations/Citation,usageInfo,CreativeWork,Specified way how to cite the dataset.,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Citations/Citation,usageInfo,Text,,Value: Citation
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Citations/Citation/Text,usageInfo:name,Text,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Citations/Citation/Details,usageInfo:description,Text,,
IPRStatements,/DataSets/DataSet/Metadata/IPRStatements/Citations/Citation/URI,usageInfo:url,URL,,
Scope,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms/TaxonomicTerm,keywords,Text,Terms describing the taxonomic scope of the dataset.,
Scope,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms/GeoecologicalTerm,keywords,Text,Terms describing the geoecological scope of the dataset.,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Organisation,author or author:affiliation,Organization,Data content owners are regarded as their authors.,Organization mapped to affiliation if owner includes a Person as well..
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/Name/Representation/Text,author:name,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/Name/Representation/Abbreviation,author:alternateName,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Person,author,Person,Data content owners are regarded as their authors.,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Person/FullName,author:name,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName/InheritedName,author:familyName,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Person/AtomisedName/GivenNames,author:givenName,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/EmailAddresses/EmailAddress,author:email,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/TelephoneNumbers/TelephoneNumber/Number,author:telephone,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/Roles/Role,author:jobTitle,Text,,
Owner,/DataSets/DataSet/Metadata/Owners/Owner/URIs,author:identifier,URL,,
Version,/DataSets/DataSet/Metadata/Version/Major,version,Text,,Mapped to the number preceding the decimal point.
Version,/DataSets/DataSet/Metadata/Version/Minor,version,Text,,Mapped to the number after the decimal point.
Version,/DataSets/DataSet/Metadata/Version/Modifier,version,Text,,Located at the end of the version specification.
Version,/DataSets/DataSet/Metadata/Version/DateIssued,datePublished,Date,,Only date before 'T' in ISO Datetime
DirectAccessURI,/DataSets/DataSet/Metadata/DirectAccessURI,distribution,DataDownload,"URL of the dataset source (e.g., download link or query interface).",
DirectAccessURI,/DataSets/DataSet/Metadata/DirectAccessURI,distribution:url,URL,,Only if URL does not end with '.zip'.
DirectAccessURI,/DataSets/DataSet/Metadata/DirectAccessURI,distribution:contentUrl,URL,,Only if URL ends with '.zip'.
DirectAccessURI,/DataSets/DataSet/Metadata/DirectAccessURI,distribution:encodingFormat,Text,,Only if URL ends with '.zip'. Value: application/zip
IconURI,/DataSets/DataSet/Metadata/IconURI,image,URL,URL of the image symbolizing the database project.,
Unit IDs,/DataSets/DataSet/Units/Unit,about,BioSample,IDs of a unit.,All IDs are mapped to BioSample elements in about.
Unit IDs,/DataSets/DataSet/Units/Unit/SourceInstitutionID,about:identifier,Text,Code of the institution where the collection is located.,In type BioSample. First part of the triple ID.
Unit IDs,/DataSets/DataSet/Units/Unit/SourceID,about:identifier,Text,Code of the collection to which the unit belongs.,In type BioSample. Second part of the triple ID.
Unit IDs,/DataSets/DataSet/Units/Unit/UnitID,about:identifier,Text,ID of the unit.,In type BioSample. Third part of the triple ID.
